time_stamp	px_est	py_est	v_est	yaw_angle_est	yaw_rate_est	sensor_type	px_meas	py_meas	NIS	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0.312243	0.58034	0	0.6	0.6	5.19994	0
1477010443050000	0.714201	0.588295	7.08139	-9.71959e-18	-1.21303e-17	radar	0.862916	0.534212	74.1733	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.16104	0.49346	7.08383	-0.0687827	-0.00827012	lidar	1.17385	0.481073	0.184602	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.27658	0.513662	7.07901	0.191675	0.03864	radar	0.969149	0.397513	1.80995	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61372	0.594626	7.09855	0.245079	0.0529671	lidar	1.65063	0.62469	0.200567	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.82173	0.569784	6.32457	0.0937204	-0.0565704	radar	1.62331	0.499091	4.21898	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.15288	0.616056	6.33935	0.108441	-0.0287985	lidar	2.18882	0.648739	0.160854	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.36876	0.644068	5.57309	0.0919315	-0.198674	radar	1.96701	0.557117	7.47752	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.64682	0.667345	5.57622	0.0806012	-0.204914	lidar	2.65526	0.66598	0.00431654	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.91394	0.6575	5.49191	0.0239906	-0.400282	radar	2.92034	0.645898	0.425602	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.14851	0.655295	5.44856	0.00836568	-0.3773	lidar	3.01222	0.637046	1.06915	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.4366	0.547731	5.48857	-0.154742	-0.862298	radar	3.56096	0.485311	1.53383	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74169	0.43248	5.56695	-0.286591	-1.13308	lidar	3.89365	0.311793	2.28812	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02089	0.518431	5.5347	-0.14112	-0.565023	radar	4.19786	0.698311	4.0362	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.29474	0.509853	5.51478	-0.135712	-0.48186	lidar	4.30935	0.578564	0.325776	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.55357	0.548403	5.40738	-0.0908667	-0.327051	radar	4.61908	0.68951	1.81294	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.73728	0.66009	5.21299	0.0178777	-0.0582067	lidar	4.35143	0.899174	12.0697	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.98882	0.658716	5.13138	0.00882889	-0.0699501	radar	5.20901	0.66599	1.44687	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.28972	0.65191	5.19854	-0.0038808	-0.088552	lidar	5.51894	0.648233	2.79955	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.54904	0.657855	5.25703	-0.000537586	-0.0739623	radar	5.22834	0.639362	1.83815	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.84413	0.67167	5.30183	0.00445189	-0.0603676	lidar	6.022	0.708619	1.75268	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.08615	0.597639	5.20547	-0.0498857	-0.142504	radar	5.89392	0.373584	3.44506	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.3398	0.710424	5.17952	0.0246103	-0.0187109	lidar	6.34249	0.948833	3.86877	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.58988	0.74113	5.13551	0.0385706	0.0027751	radar	6.62134	0.836138	0.451971	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.83644	0.73937	5.1226	0.0321542	-0.00622268	lidar	6.78214	0.714036	0.195341	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.07834	0.722339	5.01185	0.0165949	-0.0277466	radar	7.29121	0.630741	2.43453	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.29544	0.805496	4.96053	0.0602369	0.0318109	lidar	7.13735	0.957217	2.89962	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.59092	0.81557	5.1314	0.0582962	0.027379	radar	8.08349	0.819605	4.94739	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.84182	0.795063	5.12397	0.0411044	0.00421274	lidar	7.80533	0.719126	0.44324	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.09064	0.811599	5.04051	0.043909	0.00658964	radar	8.40453	0.884557	2.24125	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.32726	0.829657	5.01882	0.0482264	0.0115838	lidar	8.24796	0.840322	0.339875	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.59886	0.914786	5.16714	0.08519	0.0562864	radar	8.45858	1.41118	7.14398	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.83729	0.97409	5.14136	0.106604	0.0786012	lidar	8.74615	1.04858	0.813515	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.12836	1.01131	5.21103	0.113688	0.0819469	radar	9.8809	1.1419	6.83007	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.36649	1.04591	5.18134	0.120749	0.0856725	lidar	9.25579	1.04913	0.645633	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.64717	1.11644	5.24529	0.14209	0.105544	radar	10.1016	1.52474	4.56208	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.92314	1.24414	5.28305	0.188038	0.153147	lidar	10.0484	1.44598	3.40818	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1705	1.33052	5.17951	0.214068	0.17603	radar	10.5377	1.72555	4.99715	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3946	1.41298	5.14358	0.236486	0.192445	lidar	10.2492	1.45907	1.27105	10.3598	1.4321	4.95106	1.2701
